time,msg,codes,model,count,num_rows,rows
time,msg,codes,model,count,num_rows,rows
2020-07-11 21:41:35,,{48}0e10fb545539;{0},BRAVO,1,2,;
2020-07-11 21:41:47,,{48}0e10fb564b41;{0},BRAVO,1,2,;
2020-07-11 21:42:00,,{48}0e10fb494d4c;{0},BRAVO,1,2,;
2020-07-11 21:42:12,,{48}0e10fb4e4e46;{0},BRAVO,1,2,;
2020-07-11 21:42:25,,{48}0e10fb4f4f44;{0},BRAVO,1,2,;
2020-07-11 21:43:14,,{48}0e10fb484951;{0},BRAVO,1,2,;
2020-07-11 21:43:26,,{48}0e10fb484852;{0},BRAVO,1,2,;
2020-07-11 21:44:03,,{48}0e10fb484753;{0},BRAVO,1,2,;
2020-07-11 21:44:40,,{48}0e10fb474853;{0},BRAVO,1,2,;
2020-07-11 21:44:53,,{48}0e10fb4b484f;{0},BRAVO,1,2,;
2020-07-11 21:45:05,,{48}0e10fb474754;{0},BRAVO,1,2,;
2020-07-11 21:45:18,,{48}0e10fb454459;{0},BRAVO,1,2,;
2020-07-11 21:45:42,,{48}0e10fb444559;{0},BRAVO,1,2,;
time,msg,codes,model,count,num_rows,rows
2020-07-11 21:46:57,,{48}0e10fb424060;{0},BRAVO,1,2,;
2020-07-11 21:47:09,,{48}0e10fb414160;{0},BRAVO,1,2,;
2020-07-11 21:47:22,,{48}0e10fb404062;{0},BRAVO,1,2,;
2020-07-11 21:47:47,,{48}0e10fb3e3e66;{0},BRAVO,1,2,;
2020-07-11 21:47:59,,{48}0e10fb3e3d67;{0},BRAVO,1,2,;
2020-07-11 21:48:11,,{48}0e10fb3e3e66;{0},BRAVO,1,2,;
2020-07-11 21:48:24,,{48}0e10fb3d3d68;{0},BRAVO,1,2,;
2020-07-11 21:48:36,,{48}0e10fb3d3d68;{0},BRAVO,1,2,;
2020-07-11 21:48:48,,{48}0e10fb3d3d68;{0},BRAVO,1,2,;
2020-07-11 21:49:00,,{48}0e10fb3d3d68;{0},BRAVO,1,2,;
2020-07-11 21:49:12,,{48}0e10fb3d3b6a;{0},BRAVO,1,2,;
2020-07-11 21:49:25,,{48}0e10fb3e3e66;{0},BRAVO,1,2,;
2020-07-11 21:49:37,,{48}0e10fb3e3e66;{0},BRAVO,1,2,;
2020-07-11 21:49:49,,{48}0e10fb3e3e66;{0},BRAVO,1,2,;
2020-07-11 21:50:02,,{48}0e10fb3d3d68;{0},BRAVO,1,2,;
2020-07-11 21:50:14,,{48}0e10fb3d3e67;{0},BRAVO,1,2,;
2020-07-11 21:50:26,,{48}0e10fb3d3b6a;{0},BRAVO,1,2,;
2020-07-11 21:50:39,,{48}0e10fb3b3b6c;{0},BRAVO,1,2,;
2020-07-11 21:50:51,,{48}0e10fb3b3b6c;{0},BRAVO,1,2,;
2020-07-11 21:51:03,,{48}0e10fb3b4463;{0},BRAVO,1,2,;
2020-07-11 21:51:28,,{48}0e10fb44435b;{0},BRAVO,1,2,;
2020-07-11 21:51:53,,{48}0e10fb44445a;{0},BRAVO,1,2,;
2020-07-11 21:52:05,,{48}0e10fb454459;{0},BRAVO,1,2,;
2020-07-11 21:52:18,,{48}0e10fb454459;{0},BRAVO,1,2,;
2020-07-11 21:52:30,,{48}0e10fb42415f;{0},BRAVO,1,2,;
2020-07-11 21:52:42,,{48}0e10fb43415e;{0},BRAVO,1,2,;
2020-07-11 21:52:55,,{48}0e10fb444757;{0},BRAVO,1,2,;
2020-07-11 21:53:07,,{48}0e10fb434758;{0},BRAVO,1,2,;
2020-07-11 21:53:32,,{48}0e10fb3e3d67;{0},BRAVO,1,2,;
2020-07-11 21:53:44,,{48}0e10fb3e3d67;{0},BRAVO,1,2,;
2020-07-11 21:53:56,,{48}0e10fb3e3b69;{0},BRAVO,1,2,;
2020-07-11 21:54:09,,{48}0e10fb3b3d6a;{0},BRAVO,1,2,;
2020-07-11 21:54:21,,{48}0e10fb363775;{0},BRAVO,1,2,;
2020-07-11 21:54:34,,{48}0e10fb3a3b6d;{0},BRAVO,1,2,;
2020-07-11 21:54:46,,{48}0e10fb3b3d6a;{0},BRAVO,1,2,;
2020-07-11 21:54:58,,{48}0e10fb3e3b69;{0},BRAVO,1,2,;
2020-07-11 21:55:11,,{48}0e10fb3b3d6a;{0},BRAVO,1,2,;
2020-07-11 21:55:23,,{48}0e10fb403d65;{0},BRAVO,1,2,;
2020-07-11 21:55:35,,{48}0e10fb3b3a6d;{0},BRAVO,1,2,;
2020-07-11 21:55:48,,{48}0e10fb3b3d6a;{0},BRAVO,1,2,;
2020-07-11 21:56:00,,{48}0e10fb3b3a6d;{0},BRAVO,1,2,;
2020-07-11 21:56:12,,{48}0e10fb3b3e69;{0},BRAVO,1,2,;
2020-07-11 21:56:25,,{48}0e10fb3e3d67;{0},BRAVO,1,2,;
2020-07-11 21:56:37,,{48}0e10fb3b4067;{0},BRAVO,1,2,;
2020-07-11 21:56:49,,{48}0e10fb404062;{0},BRAVO,1,2,;
2020-07-11 21:57:02,,{48}0e10fb3e3b69;{0},BRAVO,1,2,;
2020-07-11 21:57:14,,{48}0e10fb3a3870;{0},BRAVO,1,2,;
2020-07-11 21:57:26,,{48}0e10fb363a72;{0},BRAVO,1,2,;
2020-07-11 21:57:39,,{48}0e10fb3b3a6d;{0},BRAVO,1,2,;
2020-07-11 21:57:51,,{48}0e10fb3a4464;{0},BRAVO,1,2,;
2020-07-11 21:58:03,,{48}0e10fb3b3a6d;{0},BRAVO,1,2,;
2020-07-11 21:58:16,,{48}0e10fb3b3d6a;{0},BRAVO,1,2,;
2020-07-11 21:58:28,,{48}0e10fb3e4163;{0},BRAVO,1,2,;
2020-07-11 21:58:40,,{48}0e10fb42435d;{0},BRAVO,1,2,;
2020-07-11 21:58:53,,{48}0e10fb40435f;{0},BRAVO,1,2,;
2020-07-11 21:59:05,,{48}0e10fb454954;{0},BRAVO,1,2,;
2020-07-11 21:59:18,,{48}0e10fb484852;{0},BRAVO,1,2,;
2020-07-11 21:59:30,,{48}0e10fb454558;{0},BRAVO,1,2,;
2020-07-11 21:59:42,,{48}0e10fb444559;{0},BRAVO,1,2,;
2020-07-11 21:59:55,,{48}0e10fb44435b;{0},BRAVO,1,2,;
2020-07-11 22:00:07,,{48}0e10fb414061;{0},BRAVO,1,2,;
2020-07-11 22:00:19,,{48}0e10fb3e3d67;{0},BRAVO,1,2,;
2020-07-11 22:00:32,,{48}0e10fb3b3b6c;{0},BRAVO,1,2,;
2020-07-11 22:00:44,,{48}0e10fb3b386f;{0},BRAVO,1,2,;
2020-07-11 22:00:56,,{48}0e10fb3e4064;{0},BRAVO,1,2,;
2020-07-11 22:01:09,,{48}0e10fb454459;{0},BRAVO,1,2,;
2020-07-11 22:01:21,,{48}0e10fb44425c;{0},BRAVO,1,2,;
2020-07-11 22:01:33,,{48}0e10fb443b63;{0},BRAVO,1,2,;
2020-07-11 22:01:46,,{48}0e10fb413d64;{0},BRAVO,1,2,;
2020-07-11 22:01:58,,{48}0e10fb3a3a6e;{0},BRAVO,1,2,;
2020-07-11 22:02:10,,{48}0e10fb3d3e67;{0},BRAVO,1,2,;
2020-07-11 22:02:23,,{48}0e10fb3d3d68;{0},BRAVO,1,2,;
2020-07-11 22:02:35,,{48}0e10fb3b3b6c;{0},BRAVO,1,2,;
2020-07-11 22:02:47,,{48}0e10fb3d3d68;{0},BRAVO,1,2,;
2020-07-11 22:03:00,,{48}0e10fb343b73;{0},BRAVO,1,2,;
2020-07-11 22:03:12,,{48}0e10fb3d3d68;{0},BRAVO,1,2,;
2020-07-11 22:03:25,,{48}0e10fb3d3b6a;{0},BRAVO,1,2,;
2020-07-11 22:03:37,,{48}0e10fb3b3770;{0},BRAVO,1,2,;
2020-07-11 22:03:49,,{48}0e10fb353875;{0},BRAVO,1,2,;
2020-07-11 22:04:02,,{48}0e10fb3a3b6d;{0},BRAVO,1,2,;
2020-07-11 22:04:14,,{48}0e10fb3d3570;{0},BRAVO,1,2,;
2020-07-11 22:04:26,,{48}0e10fb353a73;{0},BRAVO,1,2,;
2020-07-11 22:04:39,,{48}0e10fb424060;{0},BRAVO,1,2,;
2020-07-11 22:04:51,,{48}0e10fb383773;{0},BRAVO,1,2,;
2020-07-11 22:05:03,,{48}0e10fb383773;{0},BRAVO,1,2,;
2020-07-11 22:05:16,,{48}0e10fb3b386f;{0},BRAVO,1,2,;
2020-07-11 22:05:28,,{48}0e10fb352f7e;{0},BRAVO,1,2,;
2020-07-11 22:05:53,,{48}0e10fb413d64;{0},BRAVO,1,2,;
2020-07-11 22:06:05,,{48}0e10fb353677;{0},BRAVO,1,2,;
2020-07-11 22:06:17,,{48}0e10fb353776;{0},BRAVO,1,2,;
2020-07-11 22:06:30,,{48}0e10fb383a70;{0},BRAVO,1,2,;
2020-07-11 22:06:54,,{48}0e10fb454558;{0},BRAVO,1,2,;
2020-07-11 22:07:07,,{48}0e10fb454459;{0},BRAVO,1,2,;
2020-07-11 22:07:19,,{48}0e10fb44425c;{0},BRAVO,1,2,;
2020-07-11 22:07:31,,{48}0e10fb40445e;{0},BRAVO,1,2,;
2020-07-11 22:07:44,,{48}0e10fb43435c;{0},BRAVO,1,2,;
2020-07-11 22:07:56,,{48}0e10fb42415f;{0},BRAVO,1,2,;
2020-07-11 22:08:09,,{48}0e10fb373b70;{0},BRAVO,1,2,;
2020-07-11 22:08:21,,{48}0e10fb363775;{0},BRAVO,1,2,;
2020-07-11 22:08:33,,{48}0e10fb383872;{0},BRAVO,1,2,;
2020-07-11 22:08:46,,{48}0e10fb3a3b6d;{0},BRAVO,1,2,;
2020-07-11 22:08:58,,{48}0e10fb383d6d;{0},BRAVO,1,2,;
2020-07-11 22:09:10,,{48}0e10fb3d3b6a;{0},BRAVO,1,2,;
2020-07-11 22:09:23,,{48}0e10fb3a3d6b;{0},BRAVO,1,2,;
2020-07-11 22:09:35,,{48}0e10fb403e64;{0},BRAVO,1,2,;
2020-07-11 22:09:47,,{48}0e10fb403b67;{0},BRAVO,1,2,;
2020-07-11 22:10:00,,{48}0e10fb3e3a6a;{0},BRAVO,1,2,;
2020-07-11 22:10:12,,{48}0e10fb3b3e69;{0},BRAVO,1,2,;
2020-07-11 22:10:24,,{48}0e10fb42445c;{0},BRAVO,1,2,;
2020-07-11 22:14:44,,{48}0e10fb42435d;{0},BRAVO,1,2,;
2020-07-11 22:14:56,,{48}0e10fb444b53;{0},BRAVO,1,2,;
2020-07-11 22:15:08,,{48}0e10fb545638;{0},BRAVO,1,2,;
2020-07-11 22:15:21,,{48}0e10fb4e5440;{0},BRAVO,1,2,;
2020-07-11 22:15:33,,{48}0e10fb54513d;{0},BRAVO,1,2,;
2020-07-11 22:15:45,,{48}0e10fb505141;{0},BRAVO,1,2,;
2020-07-11 22:15:58,,{48}0e10fb51543d;{0},BRAVO,1,2,;
2020-07-11 22:16:10,,{48}0e10fb494752;{0},BRAVO,1,2,;
2020-07-11 22:16:23,,{48}0e10fb6a84f4;{0},BRAVO,1,2,;
2020-07-11 22:16:35,,{48}0e10fb898bce;{0},BRAVO,1,2,;
2020-07-11 22:16:47,,{48}0e10fb8a89cf;{0},BRAVO,1,2,;
2020-07-11 22:17:00,,{48}0e10fb8483db;{0},BRAVO,1,2,;
2020-07-11 22:17:12,,{48}0e10fb8482dc;{0},BRAVO,1,2,;
2020-07-11 22:17:24,,{48}0e10fb8363fc;{0},BRAVO,1,2,;
2020-07-11 22:17:37,,{48}0e10fb8284dc;{0},BRAVO,1,2,;
2020-07-11 22:17:49,,{48}0e10fb8482dc;{0},BRAVO,1,2,;
2020-07-11 22:18:01,,{48}0e10fb7e6bf9;{0},BRAVO,1,2,;
2020-07-11 22:18:14,,{48}0e10fb7172ff;{0},BRAVO,1,2,;
2020-07-11 22:18:26,,{48}0e10fb7477f7;{0},BRAVO,1,2,;
2020-07-11 22:18:38,,{48}0e10fb625828;{0},BRAVO,1,2,;
2020-07-11 22:18:51,,{48}0e10fb5a5137;{0},BRAVO,1,2,;
2020-07-11 22:19:03,,{48}0e10fb565537;{0},BRAVO,1,2,;
2020-07-11 22:19:28,,{48}0e10fb44445a;{0},BRAVO,1,2,;
2020-07-11 22:19:40,,{48}0e10fb4d4451;{0},BRAVO,1,2,;
2020-07-11 22:19:53,,{48}0e10fb3e4361;{0},BRAVO,1,2,;
2020-07-11 22:20:05,,{48}0e10fb424858;{0},BRAVO,1,2,;
2020-07-11 22:20:17,,{48}0e10fb34426c;{0},BRAVO,1,2,;
2020-07-11 22:20:30,,{48}0e10fb42445c;{0},BRAVO,1,2,;
2020-07-11 22:20:42,,{48}0e10fb4b4255;{0},BRAVO,1,2,;
2020-07-11 22:20:54,,{48}0e10fb454558;{0},BRAVO,1,2,;
2020-07-11 22:21:07,,{48}0e10fb4f355e;{0},BRAVO,1,2,;
2020-07-11 22:21:19,,{48}0e10fb3d3d68;{0},BRAVO,1,2,;
2020-07-11 22:21:31,,{48}0e10fb5d7213;{0},BRAVO,1,2,;
2020-07-11 22:21:44,,{48}0e10fb696811;{0},BRAVO,1,2,;
2020-07-11 22:21:56,,{48}0e10fb696d0c;{0},BRAVO,1,2,;
2020-07-11 22:22:08,,{48}0e10fb6e650f;{0},BRAVO,1,2,;
2020-07-11 22:22:21,,{48}0e10fb828bd5;{0},BRAVO,1,2,;
2020-07-11 22:22:46,,{48}0e10fb837fe0;{0},BRAVO,1,2,;
2020-07-11 22:22:58,,{48}0e10fb7c78ee;{0},BRAVO,1,2,;
2020-07-11 22:23:10,,{48}0e10fb7575f8;{0},BRAVO,1,2,;
2020-07-11 22:23:23,,{48}0e10fb7778f3;{0},BRAVO,1,2,;
